"Depth","Cl","Ca","Fe","Cu","Br","Sr","S","K"
0,0.799795611914257,1.13229170015583,0.74067448890646,-1.04912227115375,0.704670600150458,1.73951347668355,-2.31371969729612,-1.75410390936069
0.100000000000001,0.926101887017815,1.34595573257808,0.626080903112319,-1.55546586150467,0.646193312899415,1.93129740848713,-2.42296642920939,-1.49719695338069
0.200000000000001,0.847478247334464,1.53892329982388,0.275886268352325,-1.21176058702785,0.429175992465619,2.57485035557942,-2.638876942668,-1.81567663385986
0.300000000000001,0.714424168633824,1.72663095733781,0.0312273189270462,-1.14990599342907,0.186791426551452,2.68572355169396,-2.46362966171412,-1.7312617680009
0.4,0.69893222141346,1.73945195324982,0.314410287150538,-1.09813230004429,0.157665572146233,2.64181435907113,-2.59690464459087,-1.85723744839603
0.5,0.7308289629432,1.76150995134932,0.18276331496065,-1.33752189204248,0.229867784148124,2.77238718672074,-2.00168153572917,-2.33815377235038
0.600000000000001,0.788094879750559,1.91600503857602,0.146755440987264,-1.36058460142383,0.0546972965693161,2.95592263905689,-2.32199576857845,-2.17889492493778
0.700000000000001,0.782399578776567,1.92295055666501,0.277145000060031,-1.28409081055619,0.203511749016578,2.95681266158496,-2.93864915827076,-1.92007957727619
0.800000000000001,0.789924825720653,1.97199608977402,0.238975437717628,-1.2992349654281,0.405513126810321,2.82764737172655,-2.36707559542946,-2.56774629089161
0.9,0.68903761123211,1.855135818571,0.35870664263298,-1.45617524401593,0.28151700394185,2.7599728508158,-2.32117268150253,-2.16702200167528
1,0.821585812986007,2.00411178190327,0.691649391279343,-0.855195671513273,0.467308951731287,2.91381291696281,-4.65068486068547,-1.39258832266399
1.1,0.686636242133255,1.895220247252,0.382004611367701,-1.7411119938148,0.37342086767631,2.73865692563202,-2.70619288985838,-1.62863401038811
1.2,0.666135889342695,1.83668500662982,0.313695249542751,-0.857942174140249,0.46017067456357,2.24133077835458,-2.99347318247113,-1.66660224182204
1.3,0.709372705576971,1.4877713055234,0.513380143328712,-1.2873479958821,0.356621900094373,2.05637295635466,-2.09490552761979,-1.74126548737621
1.4,0.653377204315397,1.92634288012828,0.161899221547193,-0.957893889200364,0.0969614191106455,2.2631813500442,-2.18350586862978,-1.96036231731557
1.5,0.642630182180764,2.09046786063416,0.0101076234372541,-1.30523500171035,0.0946650114653171,2.41167262512459,-2.01217550440263,-1.9321327967291
1.6,0.90723488105733,2.23939175424493,0.0903849858207013,-1.95159899332423,0.0711165669548242,2.59450785141437,-2.11066368795392,-1.84037335821401
1.7,0.602338450018274,1.94607319671937,0.229859840906416,-1.34764502442467,0.0422144028597117,2.5115797954365,-2.19494288481188,-1.78947777670371
1.8,0.627274311324862,1.71233959478683,0.277131069249345,-0.991380256214162,0.0979296397916338,2.38955142798841,-2.1770039218719,-1.93584186505501
1.9,0.890951885085615,2.09646196873044,0.281391420633935,-1.14992662185991,0.0408009557160045,2.4990213402415,-2.84160263253098,-1.8170983160166
2,0.795033062797691,2.09736565015248,0.0152337651765359,-1.32062974231646,0.0574341196669123,2.49473791668119,-2.17340706846829,-1.96576770369005
2.1,0.933799723833967,2.08719749560966,-0.292025588929593,-1.54769976763242,-0.171661906679717,2.36064300464991,-1.3964687979085,-1.97378416294332
2.2,0.858635840123527,1.90041828403629,-0.129044887837301,-1.15069613536928,0.0491012975461734,2.341593790153,-1.7384828002714,-2.13152538838101
2.3,0.810157055963329,2.07060523520049,-0.228816966385049,-1.45048934781039,-0.0205199231878342,2.40873547205079,-1.66917854877522,-1.92049297705612
2.4,0.957088216970308,1.73731763368732,0.121624814230107,-1.48781309820399,0.156310372217997,2.54902696953792,-1.65843861523476,-2.3751162932049
2.5,0.856966571206872,1.81221227081685,0.300799062550366,-1.534043992814,0.144638331795083,2.00991874645029,-1.6125156082555,-1.97797538174996
2.6,0.825614389779841,1.87664060834332,0.0776347305945007,-1.49608509923752,0.0848811391152679,2.08009704915474,-1.64731606896144,-1.8014667487887
2.7,0.976778327643282,1.8413115341202,0.242221090211527,-2.06774411008014,0.292410834735383,2.28133836887439,-2.03137646590927,-1.53493957959538
2.8,0.822288545783803,1.72740597705983,-0.00042962618456792,-1.6626181040042,0.0938019987785489,2.05450456242313,-1.28532387286273,-1.74962948099383
2.9,0.80211057753872,1.72192864993084,-0.1658454725368,-1.49343223282991,0.119508310155389,2.07040103055517,-1.3023769960672,-1.7522938667462
3,0.89744180004721,1.79717835403886,-0.268698548606836,-1.39770831445932,0.0426532679308493,2.35135993666572,-1.74910620129721,-1.67312029431928
3.1,1.00692321341418,1.86324209544454,-0.342737014525926,-1.10282367776098,0.111860782159883,2.19358282653844,-2.14171673172747,-1.58833149354268
3.2,1.14358432480485,1.89898233267377,-0.120107714222707,-1.47203443183839,0.0875316505555372,2.35130503765052,-1.75074783430741,-2.13851336531617
3.3,1.0881040549909,2.21604395875353,-0.209394807345863,-1.34801243062767,-0.177237695711331,2.54713427387657,-1.87253689875182,-2.24410045518431
3.4,0.816943118626468,2.0166156452215,-0.463244736498875,-1.136457702158,-0.139314873654753,2.07767002621412,-1.55516803701619,-1.61704344073428
3.5,0.97195246777292,1.72746189004784,-0.477142794586,-1.01296972055741,0.154916693994107,2.0974465581406,-1.57575508325411,-1.88591001155795
3.6,1.12145100186956,2.02245798146412,-0.374721215399605,-1.63538936340209,0.0540912567055507,2.12062939354948,-1.34770729095031,-1.96081176383671
3.7,0.965143860044718,1.98034578389679,-0.652262222038559,-1.25009922279418,0.0358724166978421,2.12531404171226,-1.47324277410839,-1.73107188341049
3.8,0.937702070305235,1.80640523410339,-0.655274565074793,-0.991746801696006,0.153385502606996,2.27346720409434,-1.68489398225595,-1.83904466208321
3.9,1.00305965512561,1.79457668131383,-0.777526513504322,-1.20319432893001,0.343064681882563,2.23210866521866,-1.76281011686543,-1.62927872424091
4,1.21325982815789,1.60241136077453,-0.477030180905301,-1.13908677439522,0.292102906632566,2.2675380290023,-1.98638463478242,-1.77281053448436
4.1,0.973654547937302,1.71082797725374,-0.483591549154873,-1.15184117809309,0.045552655134802,2.10436201761461,-1.62512888254002,-1.57383558815247
4.2,1.19806675463151,1.66595745903904,-0.284664123937596,-1.3915752154204,0.48788983422676,2.1222065269889,-1.71315883954786,-2.08472239598035
4.3,0.887064709946722,1.95177544693915,-0.574320102528238,-1.33384235203306,0.275595560401044,1.99203969240266,-1.45900549498706,-1.73930746014122
4.4,0.87491779488966,1.77140589946764,-0.211998454015258,-0.952773683564458,0.227755727571538,2.18748118668782,-1.83313240621255,-2.06365606482438
4.5,0.887146837818142,1.94353649606391,-0.144024170054435,-1.35162674243095,0.142298282881307,1.94757147127608,-1.62129030938005,-1.80361186617401
4.6,1.04897332394245,2.04259416874138,-0.360851534587638,-1.3439509361339,0.17416881776541,2.09237956174922,-1.88554821856665,-1.76776518291026
4.7,0.979750277403026,2.08013091312788,-0.512888367284824,-1.16742071171699,0.0500963177167033,2.04598563734668,-1.48587444283552,-1.98977962375694
4.8,1.03264273189861,1.7912965618723,-0.368442367222679,-1.2913776418155,0.347619072860142,1.85421038728287,-1.83037414254819,-1.53557460232754
4.9,1.0099838224385,1.69728058932027,-0.25114739572738,-0.854346339624386,0.0291545694267788,1.86226922433675,-1.89043827131116,-1.60275619885938
5,1.06056195118294,1.76081535983118,-0.103540182620281,-0.843449129088266,0.0556737991635238,1.6771600501138,-1.83139584986886,-1.77582599871405
5.1,0.953459341682456,1.88850595158871,-0.159017987122826,-1.33375397126374,-0.0882814360310473,1.86318814360442,-1.60462892539914,-1.51947111705883
5.2,0.846112228554238,2.1190049090023,-0.250676905552357,-1.24065535321767,0.134548321208062,1.78905199872061,-1.15609796518961,-2.24128723352558
5.3,0.829685632850765,1.88070226276721,-0.141890414680478,-1.16940678166486,0.194581821940735,1.80702273963461,-1.67534242013666,-1.72535284071132
5.4,0.892972266767288,1.9989159665727,-0.19248193732331,-1.00341215353964,0.306509228795678,2.08896630536142,-2.0874256427866,-2.00404403384755
5.5,0.882272053076228,1.80428253362317,-0.229814934175242,-1.15780170581259,0.268137486654543,2.03605792470655,-2.01001358100222,-1.59311977707043
5.6,0.887421996039183,1.90716316364868,-0.409417492678602,-1.27022907223253,0.116065288887363,2.29863270842361,-1.82984486016795,-1.69979173191975
5.7,0.948030739534177,1.93787015943114,-0.264458329823251,-1.88714146900737,0.183931823001947,2.41421726259905,-1.59945939655559,-1.73299078918011
5.8,1.02347032966411,1.84118023286582,-0.14228126184163,-1.395044230337,0.127382305107473,2.18615720997875,-2.08819141089694,-1.55267317454058
5.9,1.09636643190819,1.83803571605427,-0.2695001065216,-1.92405845423617,0.202340070531437,2.22819210556337,-1.54456883253127,-1.62680693076824
6,1.03836264373959,1.78086672126962,-0.422039689534026,-1.00982635443615,0.18642440379588,2.30239968880817,-2.09317117097347,-1.78301624266963
6.1,1.20360021752823,1.63554524880086,0.129724172419762,-1.72135187396471,0.366388470529818,2.08011194089637,-2.12681698207288,-1.56720119413745
6.2,0.908900579403022,2.0657579527743,-0.539914138698203,-1.1858084344076,0.281711366634874,2.15623759861239,-1.62252608601987,-2.06435883829891
6.3,1.10025923795792,2.05081242648088,-0.65658396616391,-1.10716950955254,0.271402805473437,2.22228396725077,-1.23850551161363,-2.64249944983292
6.4,1.19183799008545,1.46674849685774,-0.536017677163125,-1.1646263365855,0.123227951721139,2.1528011620112,-1.89414116131632,-1.33983042561059
6.5,1.16255568589413,1.73168433641458,-0.416603867233711,-1.48924066949856,-0.0288383362249476,2.47911419744305,-1.75160493396605,-1.68706641282848
6.6,0.92285546590436,1.62977064733311,-0.320707805692584,-1.40027189939,0.197780690818975,2.46461994232463,-1.70700216681248,-1.78704487448601
6.7,1.04898949584761,2.02802410666506,-0.353834167223489,-1.47776426387589,-0.104373307591906,2.21111519023805,-1.64481834853905,-1.70733870552039
6.8,1.09716719488983,2.25708000942174,-0.617205610722802,-1.35383790322249,0.0544353646161794,2.2253506851324,-1.4469283262885,-2.21606141382637
6.9,1.12581410704913,1.87565663128562,-0.543727729454677,-1.28213150160274,0.395311139945415,2.11906588005941,-2.1800730948087,-1.50991543247346
7,1.14852113993437,1.81539423112414,-0.188751548738631,-1.87515050230886,0.220820341322187,2.14841387785219,-2.01825134594953,-1.25099619323587
7.1,1.06781743340092,1.7094194621233,-0.342691185839561,-1.31268609668558,0.094931033903135,2.14547810958326,-1.81778104574258,-1.5444877107429
7.2,1.32081959559921,1.77092854618404,-0.768984733116168,-1.51092207784555,0.216298870244938,2.26814080032637,-1.73406562915976,-1.5622153722331
7.3,1.04427265544123,1.5767374543107,-0.467647918796073,-1.21749044303256,0.134902366411645,2.10514461612649,-1.5276453713364,-1.64827335912502
7.4,1.10161152886657,1.73117972778364,-0.672701026757767,-1.55195048695157,-0.267235918649603,2.00534373149333,-1.25860267696411,-1.08764487882048
7.5,1.19200731595674,1.60137323703576,-0.412418054653818,-1.12237235353014,0.337424469582673,2.07040308864316,-1.4622401791525,-2.20417752388187
7.6,0.96870499992616,1.60983516614658,-0.875976870756238,-0.966948648961964,0.170579055955819,1.95017837534341,-1.39043226257281,-1.46593981508095
7.7,1.16979306668253,1.57746324734901,-0.638661281117695,-0.814940523455687,0.436099791728235,2.15578282242535,-2.28934215208584,-1.5961949715259
7.8,1.24069338634433,1.76653485716115,-0.345042413782982,-1.12274698237099,0.392164756570994,2.18607707916015,-2.28198389285554,-1.83569679022712
