"","PC1","PC2","PC3","PC4","PC5","PC6"
"PC1",1,-0.0012770566712492,0.0107150644456204,0.0224971878591015,0.00184313626057364,0.119694122779765
"PC2",-0.0012770566712492,1,0.00437179165980171,0.00917894789625997,0.000752007397878752,0.0488357088612532
"PC3",0.0107150644456204,0.00437179165980171,1,-0.0770153905191997,-0.00630967122545193,-0.409752972970231
"PC4",0.0224971878591015,0.00917894789625997,-0.0770153905191997,1,-0.0132476906329932,-0.860311168030789
"PC5",0.00184313626057364,0.000752007397878752,-0.00630967122545193,-0.0132476906329932,1,-0.0704830629990185
"PC6",0.119694122779765,0.0488357088612532,-0.409752972970231,-0.860311168030789,-0.0704830629990185,1
