"","PC1","PC2","PC3","PC4","PC5","PC6"
"PC1",1,0.0000951098834490817,0.00153624575831332,0.000767450557125188,-0.00124717686893895,-0.0532559170388252
"PC2",0.0000951098834490817,1,-0.00127431498683513,-0.000636599802673293,0.00103453250674428,0.0441757530349464
"PC3",0.00153624575831332,-0.00127431498683513,1,-0.0102825669755388,0.016710105382219,0.713541124846784
"PC4",0.000767450557125188,-0.000636599802673293,-0.0102825669755388,1,0.00834773968670631,0.356458288546694
"PC5",-0.00124717686893895,0.00103453250674428,0.016710105382219,0.00834773968670631,1,-0.579277098816891
"PC6",-0.0532559170388252,0.0441757530349464,0.713541124846784,0.356458288546694,-0.579277098816891,1
