"PC1","PC2","Depth","Facies"
0.333306885450941,0.285125858917994,0,"ZC2A"
-1.9682405086245,-0.535720371915171,0.280000000000001,"ZC2A"
-1.03858473245349,-0.993209675393583,0.300000000000001,"ZC2A"
-1.96000001043836,-0.600100398827371,0.32,"ZC2A"
-2.23428186650952,-0.224731433271037,0.34,"ZC2A"
-1.30766849415819,-0.744128946965525,0.359999999999999,"ZC2A"
-1.42264108444072,-0.422798594702174,0.380000000000001,"ZC2A"
-0.871509556605776,0.111280664820313,0.4,"ZC2A"
-2.17895854989647,0.985241932317205,0.420000000000002,"ZC2A"
0.147350144991788,1.25560608732175,0.44,"ZC2A"
-2.69997828703014,0.662600330343768,0.460000000000001,"ZC2A"
-2.98492294975372,-0.352126312803204,0.48,"ZC2A"
-2.99694458265021,-0.521788764031245,0.5,"ZC2A"
-3.6226245011564,-1.42941011563943,0.520000000000001,"ZC2A"
-1.26068892219951,-1.08420142051855,0.539999999999999,"ZC2A"
-2.04418538652396,-0.420203121033286,0.56,"ZC2A"
-1.3098052500989,0.516214763483002,0.58,"ZC2A"
1.90297074046473,1.88794089522365,0.600000000000001,"ZC2A"
-0.220852566493702,0.181426271463729,0.620000000000001,"ZC2A"
1.2107917023576,2.27646311273891,0.640000000000001,"ZC2A"
-0.570784453472286,1.23390059592842,0.66,"ZC2A"
0.220891082600018,0.0475795098740038,0.720000000000001,"ZC2A"
-0.054708890224977,0.587332326673494,0.74,"ZC2A"
-1.04337484701474,-0.277928553956856,0.76,"ZC2A"
-0.90352876074343,-0.650130840580618,0.780000000000001,"ZC2A"
-1.17145959393126,-0.307143790009991,0.800000000000001,"ZC2A"
-1.41184544201709,-0.734826644973866,0.82,"ZC2A"
-1.24622525367357,-0.744110163288229,0.84,"ZC2A"
-1.22422023661815,-0.666038925816422,0.859999999999999,"ZC2A"
-1.53787565101783,-0.47890892847777,0.880000000000001,"ZC2A"
-1.43162727753403,-1.03844713298383,0.9,"ZC2A"
-1.68718399897468,-0.544285633937974,0.920000000000002,"ZC2A"
-0.716517503278005,0.113477809350453,0.98,"ZC2A"
-0.909675441937602,1.24578379445682,1.06,"ZC2A"
-1.41748019553719,0.287484369998768,1.2,"ZC2A"
-0.946027421202176,0.422157406784167,1.52,"ZC2A"
-0.286014236864441,0.106774446864723,2.06,"ZC2A"
-0.694759113786265,-0.170957382933417,2.24,"ZC2A"
-1.43011363574264,-0.376245704322653,2.3,"ZC2A"
-1.37099253797028,-0.409483190353956,2.32,"ZC2A"
-1.71520410824529,-0.496816818877426,2.34,"ZC2A"
-1.01748868279954,0.19969078042365,2.36,"ZC2A"
-0.811547381012364,0.186308311587864,2.38,"ZC2A"
-0.340956254177186,-0.408899783909778,2.4,"ZC2A"
-0.679684834299705,-0.229743434958297,2.42,"ZC2A"
-0.609025753948862,-0.0517711542377345,2.44,"ZC2A"
-1.18329196902974,0.0540080981058316,2.46,"ZC2A"
-0.668182533247571,0.247576548621991,2.48,"ZC2A"
-1.0698220833218,-0.441828284219465,2.5,"ZC2A"
-2.17789691258342,-0.0820827050432841,2.52,"ZC2A"
-1.57914390497613,-0.76665191896948,2.54,"ZC2A"
-2.00531390359188,-0.668198180989785,2.56,"ZC2A"
-2.24366739782765,-0.81965692647129,2.58,"ZC2A"
-3.24879763998666,-0.766633785089136,2.6,"ZC2A"
-1.68790667979879,-0.943394553870009,2.62,"ZC2A"
-1.34407851759517,-0.411236451910846,2.64,"ZC2A"
-1.21728293921313,-0.719124610110227,2.66,"ZC2A"
-1.40225508925668,-0.368588786871872,2.68,"ZC2A"
-1.38367141218062,-0.292142922281242,2.7,"ZC2A"
-1.20601580412686,-0.279979348618094,2.72,"ZC2A"
-1.92127208459543,-0.939362611482802,2.74,"ZC2A"
-2.38949636218738,-1.0711912350042,2.76,"ZC2A"
-2.55581729824814,-1.78107626625756,2.78,"ZC2A"
-2.61782156188846,-1.68868732450516,2.8,"ZC2A"
-2.12497886876698,-0.87613238733765,2.82,"ZC2A"
-1.27267359047237,-0.935180909080799,2.84,"ZC2A"
-1.88294781948907,-0.828642938937947,2.86,"ZC2A"
-1.72025312813551,-0.429676670636079,2.88,"ZC2A"
-0.793719170020667,-0.069302637088144,2.9,"ZC2A"
-1.53605056607022,-0.248228661304864,2.92,"ZC2A"
-0.356278844603049,0.142858750041995,2.94,"ZC2A"
0.680994402596415,1.65412054439398,2.96,"ZC2A"
0.51117513273203,1.23593454684523,2.98,"ZC2A"
1.09048358791145,1.99868239445418,3,"ZC2A"
1.1510802926612,1.18231607154044,3.02,"ZC2A"
0.490954040482416,1.12489251437546,3.04,"ZC2A"
0.694823902624982,0.792426908346762,3.06,"ZC2A"
0.125763679738669,1.42031221129776,3.08,"ZC2A"
0.714099207275129,1.25327289571395,3.1,"ZC2A"
0.715572180779244,1.19490371722592,3.12,"ZC2A"
1.21022521608664,0.548895716542221,3.14,"ZC2A"
0.845061873210182,0.987907588087664,3.16,"ZC2A"
-0.0829262764969351,1.29486852684284,3.18,"ZC2A"
0.122236630040902,-0.121455789504248,3.2,"ZC2A"
-0.231894138398776,0.332186673219592,3.22,"ZC2A"
0.22830609864043,0.219681914117487,3.24,"ZC2A"
0.28321787032901,0.0217858586258667,3.26,"ZC2A"
-0.37264983043992,-0.09583486117115,3.28,"ZC2A"
-1.00260487545266,0.0141011441420194,3.3,"ZC2A"
-0.274561155921063,0.261140774411026,3.32,"ZC2A"
-0.902809719748089,-0.86184144907302,3.34,"ZC2A"
-1.17297619402778,-0.604713765111416,3.36,"ZC2A"
-1.37962592196697,-0.535473958084629,3.38,"ZC2A"
-1.5687876743857,0.0403220208341455,3.4,"ZC2A"
-1.23969734679535,-0.0534247912553391,3.42,"ZC2A"
-1.21885109134835,0.282899226717034,3.44,"ZC2A"
-2.52311449632556,1.32384885516113,3.46,"ZC2A"
-0.947265000629945,0.0955544855198588,3.48,"ZC2A"
-0.225942187785093,0.702448456623728,3.5,"ZC2A"
-0.863786583743682,0.786791600730874,3.52,"ZC2A"
-1.40108322133079,-0.0454969052996386,3.54,"ZC2A"
-0.715526677145717,0.230947307185655,3.56,"ZC2A"
-0.439882649688035,0.270369310528304,3.58,"ZC2A"
-0.291123012253068,0.505409655712762,3.6,"ZC2A"
-0.409924538677912,0.362638238283328,3.62,"ZC2A"
-0.324471677083701,0.560007225463568,3.64,"ZC2A"
0.0151859623643736,0.510147398849482,3.66,"ZC2A"
-0.239854600476614,0.443255955412367,3.68,"ZC2A"
0.237957485918054,1.16323976347202,3.7,"ZC2A"
-1.06912806295785,0.589266565063711,3.72,"ZC2A"
-1.51040020928919,1.00405302640736,3.74,"ZC2A"
-0.802204595469862,0.226389580205961,3.76,"ZC2A"
-1.01940376787843,0.150840987717855,3.78,"ZC2A"
-0.724852055791413,0.333203855820801,3.8,"ZC2A"
-0.824276056637726,0.0933340040243211,3.82,"ZC2A"
-1.13168147393822,0.189540155041582,3.84,"ZC2A"
-0.295154310081915,-0.20944628518194,3.86,"ZC2A"
-0.575237867817799,-0.307038592171243,3.88,"ZC2A"
-1.44217136050272,1.08868000597572,3.9,"ZC2A"
