-71.3252,1.50835,15.8975,43.3073,51.4925,74.0482,8.60007,24.6238,20.6631,0.179187,89.4507,276.851,2.39777,7.99662,10.82,8.11866,10.9458,5.12952,2.23644,2.06765,17.507,0.0465877,103.421
-66.531,1.50835,15.8975,23.9203,51.4925,95.4338,7.15038,25.1974,20.6631,0.179187,89.4507,276.21,2.39777,7.69403,7.4586,7.02313,10.9458,2.17684,5.26809,2.1866,38.0175,0.0574143,105.454
-66.2943,1.50835,15.8975,13.5878,51.4925,86.4709,6.88269,34.1555,28.361,3.52616,89.4507,276.21,2.34723,9.29063,4.55359,7.15088,9.98034,1.24001,14.046,4.73976,33.6755,0.0623338,105.686
-43.1868,1.50835,10.3023,13.5878,51.4925,86.4709,2.62077,33.7968,28.361,8.9287,89.4507,276.21,1.59432,10.8064,0.614529,19.4488,1.01736,1.73371,9.86098,4.58231,14.2052,0.0315054,104.553
-44.9268,31.3538,10.5653,2.00513,22.3636,73.6096,0.645951,38.2993,39.1284,4.36985,97.2346,257.321,19.5426,10.0652,10.2317,7.92035,11.9787,2.30989,4.64858,7.53265,10.257,0.0508549,106.613
-71.2006,24.9113,5.38715,2.00513,33.0226,69.9577,2.08175,36.6021,39.1284,11.6739,122.119,223.238,16.2505,27.5239,12.0143,8.52936,9.89497,2.12115,5.8757,7.18999,24.2467,0.117491,108.21
-64.7505,19.9302,4.64203,3.20846,10.3889,58.0033,24.6984,39.8504,50.1228,11.7843,122.922,229.719,37.1875,1.68688,12.0143,8.62756,6.25329,3.69389,4.26613,13.2412,15.0106,0.131651,104.704
-64.4802,19.8972,0.223744,3.20846,20.7205,26.4867,55.5257,40.9012,50.1228,4.24637,123.18,229.719,36.0971,6.47908,12.3646,8.25357,7.84452,2.17497,7.21029,5.15437,1.91606,0.0206781,104.523
-64.6384,31.4834,7.36422,32.5884,10.7825,20.0038,63.2826,41.0495,25.0811,4.24637,99.6064,230.904,31.1631,21.1132,6.50783,3.42533,3.26195,7.56111,5.31547,4.68286,0.251508,0.0676728,106.169
-54.8499,30.2862,6.8344,23.2075,16.4868,18.7446,61.1232,43.4995,23.4573,12.2964,93.4094,247.681,38.2309,25.4555,13.5618,1.35694,5.22931,11.0413,1.40509,5.12869,8.50981,0.0515589,107.55
