-52.4012,10.9395,38.5039,4.46351,35.3202,20.2169,6.60509,23.6923,93.7693,8.75911,89.4982,241.739,26.0916,9.50064,5.67556,3.70483,20.583,4.13108,1.12913,4.91405,12.4537,12.3588,0.00302086,103.433
-54.6278,17.1928,30.8553,4.46351,22.6303,33.7512,7.84724,8.5094,96.708,8.75911,107.593,237.483,29.5262,0.936579,6.40167,5.06404,15.9004,7.41319,0.257631,4.16624,9.83344,23.0481,0.0087446,106.251
-58.9204,24.9801,18.0608,7.81102,21.3071,40.2526,8.25243,10.5024,102.04,9.80342,107.593,219.903,13.7967,36.2743,7.46527,5.06404,11.2325,6.5881,5.59231,5.22411,5.75416,13.9924,0.000807262,104.742
-65.056,24.9801,7.93746,3.06291,23.2061,65.6984,8.79636,5.73503,87.2477,19.1393,107.593,219.903,9.77312,36.2743,13.5107,5.06404,3.72053,2.42483,0.905873,14.9338,7.42803,14.2769,0.000807262,105.515
-50.3887,25.6641,9.91746,3.06291,20.2727,78.3742,10.838,6.64111,68.4459,19.1393,88.1008,238.534,9.77312,39.8176,12.6936,5.01061,7.07812,2.3915,7.18811,16.4807,4.40867,1.75959,0.00112376,106.655
-54.9692,25.6641,14.3073,12.8669,19.3908,68.9457,21.8454,6.64111,68.5991,9.0579,44.0239,308.725,9.77312,1.5103,15.4445,7.33864,6.57755,3.4561,5.27671,13.5576,5.70674,1.75959,0.00112376,100.53
-70.3207,14.4235,14.3073,14.57,37.4126,64.3723,19.655,9.64554,67.3222,19.8511,44.0239,310.856,4.80299,6.67607,14.1588,13.7118,3.5868,4.92434,5.45466,13.5576,0.920415,4.69175,0.000801026,101.149
-52.3511,14.0709,24.4488,21.8002,95.6869,21.9231,15.3383,9.64554,41.8712,3.74495,53.8654,313.643,5.39399,7.76166,15.1001,18.1905,4.0253,3.79163,4.58888,12.4493,39.037,1.30305,0.000801026,108.463
-71.4535,36.7187,19.078,14.5248,89.2751,12.3223,16.993,13.5165,23.6498,3.72728,39.0573,336.802,3.62885,3.5316,15.3111,4.09203,15.8158,7.06363,3.77573,4.99814,39.037,5.187,0.000874816,107.028
-66.9581,34.586,14.4452,40.5698,89.2751,19.5964,12.5088,18.5542,16.9307,16.462,4.87243,336.802,22.9225,4.36617,5.42689,21.6567,9.37839,3.37156,1.5027,6.05998,22.6897,4.06421,0.00488962,102.102
-67.3356,32.057,24.7749,40.5698,89.2751,19.5964,13.4507,8.63463,19.8231,16.462,4.87243,336.802,1.25507,6.5817,6.20346,21.6567,12.5843,3.11466,1.5027,0.636173,15.8751,0.683179,0.00645074,102.31
-63.3598,32.057,24.7749,40.5698,89.2751,19.5964,8.69572,12.084,19.8231,14.4106,4.87243,336.802,6.50333,5.59838,5.27481,14.5741,9.91575,2.67268,2.97864,14.7116,2.5834,4.66438,0.0103632,100.52
-65.631,39.9516,11.0389,34.3832,77.6807,27.4469,20.8009,13.4739,23.4562,14.4106,15.0245,305.85,16.7173,7.40558,11.2114,9.73298,21.9744,6.67494,0.702145,1.06541,2.30038,4.17511,0.0266717,102.643
-66.2676,36.694,11.2854,29.6494,77.6807,29.1012,20.8009,13.4739,21.4063,14.4106,21.3677,305.85,19.1698,6.27553,4.2914,7.36904,28.303,14.2891,8.4887,27.3062,0.717926,3.93609,0.105027,108.816
-75.6524,39.5043,11.2854,33.2846,77.6807,29.1012,20.8009,9.63366,19.3298,11.7232,21.3677,305.85,7.91121,6.01676,3.78562,7.40755,27.3803,5.68026,13.5981,8.79005,3.92809,3.11444,0.105027,106.326
-72.5687,36.7598,15.63,50.093,72.4334,16.8922,19.7726,11.3087,18.294,11.1621,30.9696,339.06,2.00529,3.6958,3.65393,7.67603,12.4067,2.98496,6.71668,0.667738,6.25989,4.25007,0.0644349,101.418
-64.5368,31.4085,10.0947,58.2686,43.8518,22.7963,20.5065,19.2385,25.4081,11.1621,24.6182,337.455,21.2238,5.88639,3.41949,9.21388,13.5319,2.81796,14.1681,2.95112,4.97355,4.99385,0.0279791,100.907
-72.1363,31.8931,10.0947,58.2686,37.6913,16.4066,20.387,8.35302,27.0453,14.8903,47.3297,319.013,43.1144,5.52633,4.31038,2.93977,3.19341,1.20135,6.7947,8.56761,6.46946,32.296,0.249119,108.947
-53.35,22.0332,10.0947,39.8417,73.4679,24.4427,32.3184,8.35302,21.578,0.981187,55.4244,306.743,25.4944,8.63802,3.63715,2.37311,1.07179,1.93013,3.05839,19.2568,14.3709,11.3121,0.0349746,103.119
-59.2373,7.89345,10.0947,50.0034,73.4679,21.9487,29.8579,12.0026,16.8355,20.7475,80.2668,285.201,8.20576,5.03165,9.65028,0.869271,9.19744,1.95921,2.27107,12.5466,4.38013,17.7128,0.0564749,101.414
-45.676,7.89345,3.99212,50.7334,63.512,20.7867,33.5103,12.9871,16.9983,20.7475,70.2776,308.521,9.72042,3.77617,13.1356,5.59963,7.6162,3.78858,13.7176,8.46176,3.8076,15.9003,0.0125825,102.955
-52.342,7.89345,4.84152,84.8329,59.1903,22.5988,33.5103,6.0489,19.677,13.3722,40.5807,308.521,7.34392,1.34043,4.19796,4.89235,7.58221,3.00949,14.7643,2.98014,8.2814,15.1688,0.00316917,101.758
-70.3845,7.89345,81.0891,7.27599,67.8611,21.4547,16.3568,2.87282,26.882,15.0054,46.748,290.57,19.2352,25.3076,1.59965,1.26065,4.91855,3.2954,5.65904,19.3016,12.384,34.5289,0.00174928,105.337
-68.4522,4.05348,82.2297,7.27599,65.4736,28.6392,15.2659,4.4423,29.0992,13.985,35.2372,290.57,22.5886,24.6329,4.55772,6.36287,1.68698,4.59583,2.92186,20.7,15.8498,8.40239,0.00941228,105.593
-69.8634,1.87741,80.6138,11.9697,61.6998,26.8282,21.7414,4.5504,35.3258,13.985,27.75,297.058,20.1016,15.0093,4.55772,11.9626,3.79347,0.295888,11.1424,15.3058,7.65147,3.39834,0.0305512,103.23
-69.8021,3.42928,81.4328,18.1674,62.232,21.8201,14.0097,4.78351,35.3258,13.9583,22.2674,304.767,20.9221,13.6869,1.94864,9.01602,4.87294,0.189532,11.1195,30.8441,27.0129,2.75646,0.00768816,107.454
-69.7103,3.92453,81.4328,28.9886,46.2165,21.8201,14.0097,4.54236,34.1116,14.2357,30.4769,313.351,35.7515,13.6869,0.558752,12.5216,10.3466,1.09029,9.14855,1.85016,11.1345,2.10461,0.0089845,103.193
-69.9227,3.92453,68.8359,28.9886,46.2165,24.3471,27.5018,4.47793,32.1773,11.5919,29.6153,316.067,29.9884,13.6869,1.06691,19.0299,7.47506,1.04327,10.466,1.02161,20.3345,2.60845,0.0089845,105.521
-69.4732,4.90486,68.8359,24.7559,46.2165,34.4157,36.6935,4.52216,20.4125,14.9003,36.6321,309.617,14.2862,10.3615,1.81406,8.30887,2.54262,4.13623,10.6024,17.9902,5.03299,2.75528,0.0113359,100.596
-69.9377,4.90486,68.8359,48.9448,35.7163,27.814,42.1691,3.13215,19.4074,9.38893,22.7125,321.022,10.897,10.3117,2.21385,5.46302,6.15204,7.34006,10.989,1.29788,27.2028,4.37671,0.0215483,102.096
-69.3615,8.29705,44.2724,53.6309,14.6249,28.4992,68.0387,1.64058,10.8086,14.1112,22.7577,327.012,5.09751,7.66445,2.79508,3.52521,3.26741,12.0776,9.85984,20.3893,9.52597,15.4373,0.0297905,105.131
-69.4071,3.29517,1.417,39.5693,37.9728,35.7966,68.0387,38.3886,26.2819,4.27632,4.60033,325.72,18.6053,5.31701,1.44708,2.16852,4.91597,21.5419,7.79368,13.146,12.2895,9.15043,0.0356507,104.931
-69.6517,3.29517,13.9797,37.5936,22.2151,7.74117,81.109,44.1579,26.2819,6.51896,44.0469,311.385,8.08529,9.99802,2.73466,9.28432,11.1416,13.5093,1.70242,8.25,6.19327,13.0342,0.0693233,104.461
-75.3515,21.2795,8.27607,42.0855,13.723,6.48073,81.109,44.1579,26.2819,18.0953,30.96,314.584,5.25862,11.3415,2.55585,9.87931,11.1416,4.32158,1.85427,13.3019,6.61334,3.03833,0.00324659,100.511
-71.5422,21.2795,3.56874,46.0441,10.7514,6.48073,81.1398,46.982,30.9916,15.7453,30.96,294.448,3.22771,9.55601,4.26378,8.54936,9.11261,4.89094,2.65157,2.73173,5.99126,5.3051,0.00386093,101.355
-70.1003,21.2795,1.24755,42.1375,10.7514,12.4639,81.1398,21.7015,37.358,14.4304,37.13,302.533,5.89272,7.39631,4.30547,9.57731,21.4189,4.93487,3.40332,28.2867,5.79784,1.84743,0.00554183,104.75
-75.8483,21.2795,10.3526,30.1522,10.7514,5.1877,84.6333,22.4136,51.7104,5.46919,79.7443,248.464,23.5704,12.4378,3.27969,4.42745,5.66702,4.79333,19.2988,34.5625,22.8424,1.31132,0.0101958,107.891
-49.3618,37.7725,10.3526,26.114,11.902,5.1877,76.8009,16.9852,57.9673,1.4868,79.7443,253.707,20.0256,13.0125,1.0576,0.972269,2.11189,4.73287,17.7226,26.4216,5.26528,1.31132,0.0126149,105.768
-50.8443,36.5276,10.3526,26.114,11.902,5.1877,76.8009,16.7184,57.9673,9.66306,60.0994,262.529,18.7927,4.93979,6.21193,0.465911,2.11189,4.92648,32.2426,26.4216,8.34685,0.896796,0.016299,107.702
-57.2738,3.96543,19.5454,24.4594,5.1717,5.1877,79.7537,19.5954,57.9673,18.3583,76.6648,270.347,18.5671,4.1927,9.30432,1.6983,13.9431,4.89448,10.8239,6.41344,29.5244,0.896796,0.00954767,104.649
-66.5353,2.62087,22.9527,22.1402,23.7919,36.8573,47.3256,18.6936,57.9673,1.51584,102.198,270.347,18.0769,5.86204,6.64873,12.2023,4.45635,5.01841,15.7463,8.1081,11.6729,2.00654,0.0131719,102.265
-68.4306,0.456716,19.6596,27.1728,24.9293,15.7384,50.6401,18.3314,54.3189,21.0778,129.536,219.645,20.172,4.61049,2.13884,13.6917,2.92067,5.1325,11.0965,10.1288,19.1906,52.984,0.0171224,109.515
-67.4147,0.456716,15.7678,27.1728,26.6661,15.7384,56.8423,17,54.3189,18.2884,129.536,219.645,14.6313,1.83727,9.51059,16.5733,9.67299,5.39914,3.14236,12.3697,31.7799,20.1224,0.0535207,107.317
