depth	min.95	max.95	median	mean
0	-75	-29	-64	-61
1	-68	19	-41	-37
2	-64	84	-20	-12
3	-60	155	1	13
4	-57	224	21	38
5	-54	297	42	63
6	-38	321	68	88
7	-28	346	97	114
8	-19	393	125	140
9	-13	438	151	165
10	-7	485	175	191
11	25	508	204	219
12	43	531	235	247
13	59	562	264	275
14	70	591	293	303
15	80	633	319	331
16	115	653	348	358
17	142	674	377	385
18	159	701	404	412
19	171	736	432	439
20	186	778	459	466
21	217	792	485	493
22	241	811	512	519
23	257	834	544	546
24	270	862	574	573
25	282	893	603	599
26	317	911	630	625
27	346	928	659	650
28	365	955	686	676
29	384	979	713	702
30	401	1016	738	727
31	464	1026	763	757
32	507	1039	790	786
33	537	1057	820	815
34	566	1080	850	844
35	591	1117	880	873
36	630	1125	905	899
37	660	1135	933	925
38	693	1148	963	950
39	715	1165	991	976
40	735	1192	1018	1002
41	796	1199	1043	1029
42	847	1206	1066	1056
43	889	1215	1094	1083
44	923	1226	1121	1109
45	953	1252	1150	1136
46	1123	1275	1225	1219
47	1180	1500	1292	1301
48	1201	1762	1359	1384
49	1216	2028	1428	1467
50	1229	2293	1494	1549
51	1558	2378	1771	1814
52	1887	2461	2050	2080
53	2204	2567	2324	2345
54	2500	2716	2611	2610
55	2726	3016	2872	2875
56	2754	3022	2883	2891
57	2780	3031	2895	2906
58	2793	3044	2914	2922
59	2802	3064	2934	2937
60	2809	3087	2954	2953
61	2820	3094	2962	2962
62	2829	3105	2971	2970
63	2835	3113	2980	2979
64	2843	3124	2990	2988
65	2847	3138	2999	2997
66	2860	3142	3008	3006
67	2872	3150	3016	3015
68	2879	3158	3025	3023
69	2885	3167	3034	3032
70	2892	3179	3043	3041
71	2905	3185	3052	3049
72	2916	3193	3059	3058
73	2924	3202	3068	3066
74	2933	3211	3077	3075
75	2942	3221	3085	3083
76	2952	3225	3094	3092
77	2963	3233	3101	3100
78	2972	3240	3109	3109
79	2981	3248	3117	3117
80	2987	3260	3126	3125
81	3002	3265	3133	3134
82	3016	3270	3140	3143
83	3025	3276	3148	3152
84	3035	3284	3156	3160
85	3044	3295	3165	3169
86	3061	3299	3171	3178
87	3076	3302	3177	3186
88	3086	3307	3184	3194
89	3097	3312	3192	3203
90	3106	3320	3199	3211
91	3119	3326	3207	3220
92	3126	3334	3215	3230
93	3139	3348	3225	3239
94	3146	3366	3234	3249
