-66.4493,22.2054,8.98473,8.67761,3.15782,80.2581,50.083,2.17676,15.0632,63.522,2.73816,339.394,13.9285,8.65455,4.63175,5.53713,8.65215,0.971949,18.6403,7.55036,13.2595,0.000436415,64.0539
-69.1143,22.2054,8.98473,4.69257,3.15782,80.2581,62.0521,2.17676,11.8417,62.5881,6.93869,324.678,13.5837,3.17893,4.36257,6.30918,28.9051,0.971949,16.0566,4.83322,25.4846,0.000436415,68.2778
-60.2779,21.3086,1.88946,1.32778,9.63929,80.2581,62.0521,5.59846,7.44288,58.5469,7.2805,332.385,3.8876,4.90357,9.33122,9.14465,23.0892,1.68503,13.5019,0.574342,20.7949,0.000436415,64.8443
-65.4207,21.3086,8.74023,5.52778,9.63929,108.36,45.8463,1.94452,13.103,53.04,6.94229,319.267,3.02389,4.03281,4.98159,12.2783,34.8404,4.26448,5.58077,2.93041,29.9293,0.000436415,70.7588
-73.7689,29.6356,8.74023,3.44885,4.29669,120.933,33.6984,1.94452,8.50084,53.2583,4.21963,338.098,3.76104,4.63786,4.46821,9.96081,12.8163,2.29645,8.92701,2.26902,24.3139,0.018814,65.6755
-72.4073,23.2446,6.37904,3.44885,4.29669,120.933,33.6984,1.94452,8.50084,53.2583,3.97258,350.532,7.67628,2.6997,6.90386,9.36567,15.2205,2.29645,3.70711,1.77735,16.0257,0.0191094,65.4687
-73.7597,23.7167,11.1323,3.44885,4.32608,116.299,36.2154,1.94452,32.1186,33.9145,1.14386,358.756,9.26946,2.6354,0.264179,2.69973,11.8188,2.29645,5.47873,10.2109,20.8325,0.0145671,67.8968
-73.9713,22.0562,15.571,3.44885,12.1847,116.299,35.8239,3.54753,21.0982,28.4569,0.641104,352.243,15.194,2.97987,0.264179,1.90212,14.7494,1.14201,4.73618,10.827,41.7918,0.0101943,65.7039
-69.5345,22.0562,16.8763,3.65125,17.5835,116.299,31.8121,10.4629,20.4666,20.7968,0.889294,353.899,5.45787,3.50871,3.8798,1.76499,11.8161,3.5033,5.26119,13.2132,25.6229,0.00651013,64.6401
-53.1117,21.247,26.7986,3.37608,7.48149,108.154,40.8883,1.90712,20.4666,16.2448,6.19426,353.899,1.56502,5.22306,6.33574,2.41661,8.81922,9.24475,8.30539,19.8501,25.6229,0.00911086,64.5191
-53.1117,21.247,26.7986,3.92164,1.98888,108.154,25.9819,7.64834,20.4666,14.4722,6.19426,350.625,5.95948,5.39826,20.2901,3.44391,3.6983,12.7746,4.32192,14.1442,8.37138,0.00992421,68.336
