depth	min.95	max.95	median	mean
0	-75	-32	-64	-62
1	-68	19	-41	-36
2	-65	93	-21	-11
3	-62	170	-1	14
4	-59	246	19	40
5	-57	323	39	65
6	-38	341	69	93
7	-25	363	106	122
8	-16	394	139	150
9	-8	435	168	178
10	-1	487	194	206
11	26	505	220	232
12	44	529	247	259
13	58	566	275	285
14	69	610	301	311
15	80	666	325	338
16	111	682	352	364
17	131	703	380	391
18	149	723	407	417
19	163	753	438	444
20	176	791	466	471
21	209	806	493	496
22	237	828	520	521
23	255	851	546	547
24	271	879	571	572
25	284	910	593	598
26	325	923	621	625
27	356	941	650	652
28	378	962	680	679
29	402	988	708	705
30	420	1027	735	732
31	460	1040	764	761
32	503	1056	797	790
33	529	1072	829	818
34	551	1091	859	847
35	569	1118	888	875
36	621	1125	912	901
37	662	1135	936	926
38	695	1146	964	951
39	726	1159	991	976
40	749	1181	1018	1001
41	815	1190	1040	1029
42	873	1200	1064	1056
43	922	1213	1091	1084
44	956	1225	1118	1111
45	989	1250	1146	1139
46	1122	1275	1224	1219
47	1178	1440	1295	1299
48	1201	1634	1364	1379
49	1216	1828	1434	1460
50	1226	2023	1507	1540
51	1561	2193	1780	1807
52	1885	2363	2056	2075
53	2204	2533	2328	2342
54	2505	2717	2608	2609
55	2743	3014	2870	2877
56	2767	3020	2882	2891
57	2787	3029	2894	2906
58	2800	3043	2911	2921
59	2810	3061	2929	2936
60	2817	3085	2947	2951
61	2830	3092	2956	2960
62	2840	3100	2967	2968
63	2845	3109	2976	2977
64	2851	3121	2986	2986
65	2857	3132	2995	2995
66	2867	3138	3004	3004
67	2875	3144	3012	3012
68	2886	3152	3021	3021
69	2896	3163	3030	3030
70	2902	3176	3039	3038
71	2916	3181	3048	3047
72	2926	3188	3056	3056
73	2937	3197	3065	3065
74	2944	3207	3073	3075
75	2951	3219	3083	3084
76	2963	3225	3091	3092
77	2973	3232	3100	3100
78	2979	3242	3108	3109
79	2985	3250	3117	3117
80	2991	3260	3125	3125
81	3005	3266	3132	3134
82	3017	3272	3139	3142
83	3028	3278	3147	3151
84	3035	3284	3154	3159
85	3043	3293	3162	3167
86	3062	3297	3169	3176
87	3078	3301	3176	3185
88	3091	3306	3184	3193
89	3103	3311	3192	3202
90	3112	3320	3200	3211
91	3129	3326	3208	3221
92	3140	3334	3217	3231
93	3148	3348	3227	3241
94	3157	3366	3238	3251
95	3162	3385	3249	3261
