"Depth","S","Cl","K","Ca","Fe","Cu","Br","Sr","Facies"
0,-1.20623298905722,0.137501757643879,-2.30484527772533,0.180061372062675,-2.08170172641112,-0.289942257183061,1.70248790750715,3.86267121316302,"ZC2A"
0.280000000000001,-0.284042080497277,0.252944369307386,-4.00973550773393,2.92271238383858,-0.51322794626745,-1.37067817811867,0.438780868208785,2.56324609126258,"ZC2A"
0.300000000000001,-0.45156032602695,0.225586513186554,-3.90154787185854,2.53380089326155,-0.662869419694157,-0.569343361683333,0.467899980608484,2.35803359220639,"ZC2A"
0.32,-0.408557970121845,0.0878789161920464,-2.57761167049137,2.57712396757865,-0.668069165606929,-1.66132093861721,0.312760087404797,2.33779677366187,"ZC2A"
0.34,-0.208154593603926,0.334931892380286,-3.62588127721729,2.7491435426108,-0.630149003663301,-2.12180388044102,0.798965354639518,2.70294796529492,"ZC2A"
0.359999999999999,-0.397859852963632,0.414951831352402,-3.78225011630941,2.42230764625928,-0.486413250305077,-1.04141009238421,0.42244250308156,2.44823133126908,"ZC2A"
0.380000000000001,-0.456683107408545,0.587120944764569,-3.67555893227675,2.34059822742161,-0.379722066272417,-1.42426713367025,0.4754809736219,2.53303109381988,"ZC2A"
0.4,-1.04226220046969,0.388483923221032,-3.44015747326806,2.20174959767005,-0.495718494101623,-0.801100143652805,0.420572237772532,2.76843255282857,"ZC2A"
0.420000000000002,-1.28942344446352,0.656486704591791,-2.54218641295889,2.29409549399259,-2.31904286164468,-1.62589568108474,1.26447607681143,3.56149012475602,"ZC2A"
0.44,-1.72028976567781,-0.516316961351877,-2.81890205434592,1.89959681694917,-0.516316961351877,-0.803999033803658,1.25012469989189,3.22610325969009,"ZC2A"
0.460000000000001,-0.33277523534648,-0.381565399515912,-2.68415049250996,2.54695812434463,-0.286255219711587,-2.68415049250996,0.611686373494371,3.21025234175489,"ZC2A"
0.48,-0.0977360909611176,-0.0977360909611176,-2.83857611488632,2.70855254972451,-1.13382802264789,-1.92228538301216,0.400102337278062,2.98150681546604,"ZC2A"
0.5,-0.232661816159133,0.132797957335332,-2.3727279796554,2.65934259516092,-1.36112706797692,-1.81311219171998,0.211269572776827,2.77621893023836,"ZC2A"
0.520000000000001,0.37589304431231,0.37589304431231,-3.2076258941438,3.06430727089766,-1.95486292564843,-1.70354849736753,0.389686366444646,2.66025759119283,"ZC2A"
0.539999999999999,-0.568950611968302,-0.350261411003472,-2.1783885244024,2.31771056653133,-0.974415720076466,-0.686733647624685,0.219506748395968,2.22153260014803,"ZC2A"
0.56,-0.56737864215237,-0.110620239656655,-2.59552688944466,2.57949226075889,-1.02691097153081,-1.20923252832476,0.260943316775828,2.66923369357454,"ZC2A"
0.58,-0.931540043105048,0.442175535807982,-3.23412513609909,2.19741107423517,-0.213700249954732,-1.62468722366499,0.491568291137559,2.87289775164316,"ZC2A"
0.600000000000001,-2.81939607420315,0.379277043347534,-2.81939607420315,1.35499119569249,-0.0468073519633658,-0.0468073519633658,1.0825765953715,2.9155620179215,"ZC2A"
0.620000000000001,-1.0190099598928,0.280273024237465,-2.81076942912085,1.16891222478111,-0.508184336126805,-0.864859280065538,0.70077600971017,3.05286174647725,"ZC2A"
0.640000000000001,-3.07604082868717,0.162637623477214,-1.57196343191089,1.38986728996742,-0.51109147122563,-0.272680447780632,0.795160182220724,3.08411108393897,"ZC2A"
0.66,-1.82844158699312,0.443684298516213,-1.82844158699312,1.68905625036519,-0.199201047262844,-1.29781333593095,0.173038413217,2.84811859508164,"ZC2A"
