labID,age,error,depth,cc,dR,dSTD
1,-72,10,0,0,0,0
2,1280,15,46,1,0,0
3,1810,20,50,2,137,20
4,2510,15,54,1,0,0
5,2910,15,57,1,0,0
6,3010,15,92,1,0,0
