depth	min.95	max.95	median	mean
0	-76	-39	-66	-64
1	-71	-25	-54	-53
2	-69	1	-45	-42
3	-67	29	-36	-31
4	-66	59	-27	-20
5	-65	89	-18	-9
6	-54	97	-4	3
7	-50	109	9	14
8	-46	122	24	26
9	-42	140	35	38
10	-40	159	48	50
11	-27	167	58	60
12	-19	178	68	70
13	-10	192	78	80
14	-3	207	88	90
15	0	226	97	100
16	19	234	106	111
17	35	243	117	122
18	48	253	127	134
19	58	262	138	145
20	63	277	148	156
21	94	281	158	169
22	122	286	167	182
23	144	294	180	195
24	153	312	194	208
25	157	334	209	221
26	170	340	222	233
27	177	350	236	244
28	181	360	249	256
29	185	371	262	268
30	188	386	276	280
31	208	392	288	292
32	222	400	300	304
33	232	407	313	315
34	239	418	326	327
35	246	433	338	339
36	260	437	348	348
37	272	443	357	358
38	282	450	368	367
39	288	459	379	377
40	293	470	389	387
41	308	475	397	396
42	320	478	407	405
43	329	484	416	413
44	337	490	426	422
45	343	500	435	431
46	358	503	444	440
47	370	506	454	450
48	382	511	463	459
49	392	518	473	468
50	400	528	483	477
51	421	529	489	486
52	443	532	496	494
53	461	536	504	503
54	476	541	512	511
55	485	550	520	520
56	495	556	527	527
57	501	567	533	534
58	506	583	540	540
59	509	599	545	547
60	511	616	551	554
61	517	621	559	561
62	522	626	566	568
63	525	634	572	574
64	528	644	579	581
65	531	654	585	588
66	539	659	592	594
67	545	665	599	601
68	550	671	606	607
69	554	679	613	614
70	557	689	620	620
71	565	693	626	627
72	573	698	633	633
73	578	705	640	640
74	582	711	646	646
75	586	720	653	653
76	600	725	658	659
77	609	732	664	666
78	617	738	671	672
79	624	746	677	679
80	629	754	683	685
81	647	760	691	693
82	661	767	700	701
83	671	776	709	709
84	676	786	716	717
85	679	797	723	725
86	690	805	734	736
87	696	815	745	747
88	701	829	755	758
89	705	851	765	770
90	710	876	775	781
91	724	880	789	793
92	735	887	804	806
93	742	894	819	818
94	749	905	833	831
95	752	921	847	843
96	772	925	858	855
97	786	929	869	866
98	796	935	882	877
99	802	942	894	889
100	809	952	906	900
101	829	958	921	918
102	845	986	938	935
103	855	1028	954	953
104	864	1076	968	970
105	872	1122	981	988
106	893	1137	1001	1006
107	908	1154	1021	1025
108	923	1178	1040	1043
109	936	1205	1059	1062
110	940	1242	1076	1080
111	956	1254	1094	1098
112	968	1267	1115	1115
113	977	1284	1135	1132
114	984	1311	1152	1149
115	991	1343	1169	1167
