-47.656,4.67404,11.9962,28.5692,11.3443,18.2375,5.3758,1.07897,2.40762,9.2249,5.4146,8.26336,5.94517,1.61604,6.49495,2.47666,23.8402,3.17075,15.9555,24.256,3.14123,2.10051,4.48388,10.6272,0.0615797,16.7352,0.00750317,68.137
-69.2255,6.81036,12.3211,28.5692,12.0301,14.6368,4.18731,3.38635,4.63525,12.3067,10.5065,6.98037,3.51508,1.89601,5.45725,2.60329,23.8402,3.10029,33.6926,21.5362,6.65978,23.6532,14.8523,8.02924,2.64708,4.24652,0.00711395,66.1777
-69.2255,9.09317,11.1963,28.5692,12.0301,13.7213,6.10718,4.55871,4.63525,11.8198,9.80361,6.98037,4.17838,0.563931,5.23951,1.03741,15.8756,7.09278,23.6445,15.7582,3.58177,30.5315,21.1543,8.60563,2.64708,7.85632,0.0119591,62.7279
-74.807,10.3644,11.2467,28.5692,9.88112,15.1338,5.09363,3.75149,3.41659,11.9932,4.25,11.0822,5.68809,5.60084,6.73101,1.03741,10.1066,12.6119,14.4001,20.4535,2.07453,28.2932,32.6713,9.48734,10.0328,10.637,0.0313393,63.8627
-71.5194,9.32879,12.4698,27.2931,9.88112,20.1501,3.36214,11.3932,1.55852,10.1658,4.25,8.7084,3.71561,3.84654,6.29587,1.97148,14.4086,15.1835,10.7187,15.9942,2.48742,24.8315,32.6959,5.95391,13.0564,7.18866,0.0407066,60.901
-68.7996,9.60699,12.4698,23.8118,9.88112,26.8046,4.05218,6.85688,1.55852,11.5937,5.81857,8.34487,4.21821,3.66745,7.4447,1.97148,25.8993,6.60986,2.24917,9.52413,9.22196,25.3428,18.0018,8.37972,12.4608,15.3239,0.0254925,65.9463
-67.3512,9.73276,12.4698,26.6419,6.0908,26.8046,7.86022,4.45496,1.55852,11.5013,1.19538,8.84886,5.9548,1.54656,11.8275,1.97148,9.19537,9.50505,10.7632,4.26574,20.416,20.9215,12.1334,6.40229,23.639,0.655847,0.0311679,62.9693
-63.5986,8.04682,12.4698,27.7257,6.0908,26.8046,7.82999,4.74907,2.58566,10.826,1.19538,7.81589,5.69658,0.0715833,16.5699,0.887735,8.29861,9.50505,15.0508,6.89232,20.416,12.66,12.1334,13.3075,13.863,3.21364,0.0615899,65.0783
-66.2604,7.46572,13.2615,27.7257,6.0908,20.4686,6.77287,6.26239,2.98638,14.0549,1.08639,7.81589,2.90691,0.845892,16.5699,1.50828,8.29861,8.24813,21.6855,7.28511,20.416,4.11347,5.94482,16.1073,21.0292,3.42784,0.0220925,65.4907
-69.6038,8.7146,14.6796,22.1586,7.55888,20.4686,6.77287,17.1381,0.898376,10.5928,1.84914,5.99165,1.67736,1.04008,16.5699,5.93299,8.29861,11.7872,19.345,6.15207,10.1619,3.24917,24.7434,44.181,15.215,5.09693,0.0150758,66.3693
-71.9489,8.97248,19.0117,24.3631,6.03383,16.3376,1.85704,15.6938,1.56789,10.2475,1.84914,6.47182,4.36475,1.51717,6.18739,9.7437,9.03859,8.90713,18.2268,6.15207,20.9098,12.2803,30.9726,33.7934,14.6294,1.18071,0.00618858,67.3589
-67.485,8.85504,20.7033,24.3631,7.4161,14.9846,1.85704,19.9578,2.16096,10.376,1.84914,5.507,2.16784,0.416587,3.67984,9.8244,10.7991,12.2139,13.207,3.68468,23.1028,7.12382,41.0697,3.90205,11.9038,9.52949,0.00760517,61.6888
-73.7211,8.66196,20.7033,24.3631,7.4161,17.7118,1.85704,13.525,5.24154,8.89545,1.84914,5.507,2.16784,2.71295,7.55712,7.52683,9.38898,13.5324,8.96915,4.28874,26.3316,9.60494,41.0697,9.97703,13.3179,8.59713,0.00030378,60.7593
-62.0875,8.83794,19.715,24.3631,7.54675,17.7118,1.85704,12.0788,5.75636,8.14458,3.8356,10.4275,2.16784,3.68758,3.70676,11.0948,14.7461,5.83014,3.77949,4.28874,23.6184,8.93904,36.1213,9.97703,5.49542,6.14912,0.200506,64.1716
-72.3621,7.74094,23.9311,24.3631,6.37818,16.8728,1.85704,12.0788,4.48628,10.0468,3.31942,8.58102,2.21331,4.4968,0.0129036,10.5391,12.3413,5.83014,9.53288,6.91662,23.6184,10.4046,45.2754,15.9374,3.64823,6.00568,0.155777,65.2779
