-62.3186,9.54877,3.36165,3.8358,22.746,7.50674,13.6572,27.0658,9.79407,10.2299,5.7668,2.75502,1.58782,13.1764,2.11407,3.05095,4.02334,15.3901,10.5853,4.44357,7.42978,18.2025,42.1114,11.2824,14.8532,0.0461084,59.6757
-60.1718,11.7781,6.68583,3.51699,22.7098,4.91236,13.7642,21.3907,13.6764,15.023,4.32631,1.81778,8.0045,7.12736,1.71496,7.82084,4.02334,22.009,1.1253,15.9936,8.63068,8.90561,26.3848,9.84437,15.5539,0.0172967,61.9764
-46.2887,12.3359,4.73236,6.06383,19.8131,14.1616,10.1802,14.1965,10.6681,18.8018,2.49057,1.97466,2.45974,4.4911,2.20578,10.7269,2.23459,16.0167,1.1253,24.3087,8.56079,31.4241,17.263,20.1063,5.81703,0.00187671,59.1283
-68.6566,13.5022,5.51655,4.78638,20.6521,20.3793,10.423,15.4623,6.04083,14.4641,1.7396,1.80065,1.94643,4.00363,9.1762,12.9189,8.00637,14.4506,1.1253,14.0666,12.213,27.1792,7.66795,18.8706,12.5733,0.0111694,59.2855
-60.5848,9.77534,4.79192,6.57314,23.0599,5.43358,7.3927,27.4204,5.73252,18.839,0.682955,1.82757,4.15597,12.4355,5.37548,4.81473,9.30656,13.1644,9.03352,13.8442,2.23337,47.947,1.78669,0.912971,10.3858,0.0183817,60.4798
-75.6585,5.57263,2.91379,10.8412,26.0761,11.4759,4.53049,24.5036,5.73252,10.5372,0.682955,3.93565,7.6529,12.4355,7.98401,1.48189,9.24783,12.6255,11.559,14.1172,2.23337,69.2461,1.78669,8.53854,4.50239,0.00685345,62.8154
-75.6585,1.39403,4.34274,6.80119,26.0761,21.7537,2.6776,24.5036,4.60619,14.9204,0.682955,6.16723,6.9552,12.4355,8.05082,2.30277,9.24783,9.25894,5.9668,17.0202,4.50761,32.06,5.51343,8.53854,4.50239,0.0287259,60.89
-69.9421,3.73382,3.8397,8.8352,27.332,12.8208,4.72689,33.5833,2.63141,12.8007,0.682955,6.06738,6.65181,7.97077,6.32878,3.4806,9.04831,9.86792,10.7581,21.8654,4.50761,2.75975,2.82772,8.53854,6.97782,0.05299,57.3698
-69.9421,3.73382,4.38575,5.99192,24.8521,12.8208,9.0369,33.5833,2.70654,13.5936,0.682955,6.06738,6.32946,7.83666,5.85388,3.4806,7.73338,9.91388,10.3199,21.8654,4.50761,8.30253,2.82772,12.3661,1.75156,0.0310895,56.2872
-62.8848,13.6199,4.19373,8.72555,24.0952,1.17859,11.3566,33.5833,0.189837,10.8985,0.823493,7.99848,2.35134,6.18799,4.15162,2.61643,14.5678,10.2044,13.7467,21.8654,4.50761,8.07432,2.90584,0.815554,7.77857,0.0287179,60.9914
-65.71,11.2149,3.2808,11.9605,22.4304,6.61844,10.8185,30.0383,4.58297,8.70885,1.39258,6.9133,5.34409,5.43176,4.47047,2.84857,10.7625,11.9727,11.8476,21.9169,7.94114,12.3063,34.4429,1.48323,5.88422,0.0180329,57.042
-66.0639,11.6775,4.22042,13.9869,21.611,6.61844,8.26871,27.1971,2.47649,12.0471,2.89763,7.03178,5.53819,5.95024,7.3683,1.09434,11.295,11.3265,10.9147,18.9621,6.29901,5.20308,21.8543,4.17427,9.97788,0.0190479,55.684
-59.3304,14.9133,3.91491,13.8797,17.2801,6.61844,14.0429,27.1971,3.04244,1.39736,4.10322,9.74766,7.37959,6.97594,0.545494,6.49189,12.3111,10.2704,7.2833,1.99783,3.55606,8.05124,51.6613,4.17427,14.7252,0.0421528,62.2614
-70.9698,13.7,4.66083,9.97579,17.2801,8.08491,10.4311,27.1971,7.9897,2.37558,8.4405,7.62152,7.72883,3.76157,3.24972,4.76086,8.32953,8.35205,14.4517,23.5871,1.32639,19.0583,53.3238,3.75704,20.1853,0.0259364,57.8927
-70.9698,13.7,5.02714,9.97579,17.2801,8.24729,10.6223,27.1971,7.9897,2.37558,8.4405,7.62152,7.11584,4.51007,4.10287,4.76086,8.41549,8.35205,13.745,23.4998,1.32639,18.0496,53.3238,5.59268,20.1853,0.0738121,58.7014
-75.9843,13.7,3.55829,11.8529,17.2801,13.7439,11.4537,27.1971,6.18057,2.37558,7.59646,7.62152,5.54085,3.7372,1.43017,7.55814,8.47965,8.35205,13.745,20.7085,4.31196,18.0496,23.3054,5.59268,20.1853,0.0314188,58.1139
-71.9693,12.4631,3.55829,8.24628,17.2801,16.1209,15.1911,18.6439,2.83415,5.63176,6.39378,8.24774,9.89317,2.97733,1.43017,9.0901,12.1684,7.56289,8.60209,13.9952,10.8903,28.571,17.889,5.59268,8.98648,0.020328,57.7463
-58.7142,9.1499,2.67466,12.2045,27.4605,1.06059,15.6071,18.6439,2.7312,5.36909,13.5252,7.30676,11.2702,11.5549,7.86191,12.2548,6.43191,3.50296,9.38335,5.93823,10.8903,35.2065,18.2324,1.33901,8.63173,0.00437573,59.8432
-50.4704,7.69658,2.67466,12.8148,28.8974,1.18972,12.9996,14.0017,6.83756,2.90713,11.9338,10.0948,10.3511,0.757807,7.2452,9.95099,1.73315,24.1925,19.6788,6.82874,2.2505,27.9258,10.2938,10.2454,6.14476,0.00551309,62.0821
-50.4704,7.31324,2.67466,9.40392,24.0212,1.18972,17.0402,16.5024,12.1504,2.90713,8.37322,10.6203,5.71577,0.757807,7.0258,6.3298,1.73315,33.7474,6.2433,7.36731,4.03764,29.7585,3.09031,10.2454,13.0028,0.00551309,59.984
-58.3045,6.65004,2.67466,7.0392,24.0212,1.18972,15.3658,17.836,10.7591,10.8269,4.35963,14.3733,6.0522,0.757807,7.0258,5.95706,2.12802,32.8018,1.8705,9.34859,5.08206,29.7585,12.9431,10.2454,13.5013,0.000750003,61.0355
