"Core","Depth","Type","Age","Age_Err","Curve","cal_median","cal95_low","cal95_high","cal_mean","Calibrated_95_range","year_ce_median","year_ce_min95","year_ce_max95","label_median_cal"
"C3",46,"Plant/Wood",1280,15,"IntCal20",1226,1177,1276,1228,"1177–1276",724,674,773,"724 CE"
"C3",50,"Sediment Organic carbon",1810,20,"Marine20 (ΔR=137±20)",1070,930,1190,1066,"930–1190",880,760,1020,"880 CE"
"C3",54,"Plant/Wood",2490,15,"IntCal20",2580,2494,2713,2590,"2494–2713",-630,-763,-544,"631 BCE"
"C3",57,"Peat",2910,15,"IntCal20",3043,2966,3147,3048,"2966–3147",-1093,-1197,-1016,"1094 BCE"
"C3",65,"Plant/Wood",2510,15,"IntCal20",2579,2498,2721,2599,"2498–2721",-629,-771,-548,"630 BCE"
"C3",92,"Peat",3410,15,"IntCal20",3650,3578,3695,3649,"3578–3695",-1700,-1745,-1628,"1701 BCE"
"C3",92,"Plant/Wood",3010,15,"IntCal20",3198,3087,3325,3205,"3087–3325",-1248,-1375,-1137,"1249 BCE"
